12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,7,5,5,5,5,5,7,12,19,3,11,12,12,12,12
12,12,12,12,12,12,7,6,6,6,6,6,7,5,5,5,5,6,6,6,5,7,7,19,3,11,12,12,12,12
12,12,12,12,7,7,6,4,4,7,7,6,6,6,6,6,5,5,5,5,5,5,7,7,7,7,7,12,12,12
12,12,12,7,6,6,6,4,5,5,7,7,7,5,2,2,2,5,5,7,5,18,18,18,18,7,7,7,12,12
12,12,12,7,6,5,4,5,5,5,7,7,7,7,2,2,2,6,5,7,18,18,18,18,18,18,7,7,7,12
12,12,5,5,6,4,5,5,7,7,7,7,7,6,6,6,6,6,6,7,18,18,18,18,18,18,7,7,7,12
12,12,5,6,6,7,4,7,7,7,7,7,7,7,6,6,5,7,7,6,18,18,18,18,18,18,6,7,7,12
12,12,6,6,7,7,5,7,7,5,5,5,7,7,7,7,7,7,6,7,18,18,18,18,18,18,6,6,7,12
12,12,6,6,6,6,7,7,7,7,5,6,7,7,7,7,6,6,5,6,7,18,18,18,18,7,7,6,7,12
12,12,7,5,6,6,4,4,4,7,7,7,5,7,7,2,2,2,6,6,6,6,6,5,5,5,7,6,7,12
12,12,7,6,5,6,7,4,4,4,7,7,7,7,7,2,2,2,7,7,7,5,7,7,7,5,7,6,7,12
12,12,7,7,6,6,7,7,7,4,4,7,7,7,6,2,2,2,5,7,7,7,7,7,7,7,7,6,7,12
12,12,7,7,7,7,4,7,7,4,4,5,5,7,7,2,2,2,7,7,7,7,7,7,7,7,5,6,7,12
12,12,12,7,7,7,4,4,4,4,4,5,5,5,7,2,2,2,7,7,7,7,7,7,7,7,5,6,7,12
12,12,12,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,5,5,5,5,7,7,5,5,7,6,7,12
12,12,12,12,12,7,6,19,3,11,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,7,12,12
12,12,12,12,12,12,12,19,3,11,12,12,12,7,6,7,6,6,7,5,5,5,5,7,7,7,7,12,12,12
12,12,12,12,12,12,12,19,3,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
